UC_Survey,TEHSIL_Survey,DISTRICT_Survey,Column1,Google API Returned Value,UC_Shape,TEHSIL_Shape,DISTRICT_Shape
10/ah, khanewal, lodhran,,"['Street 10, Khanewal, Punjab, Pakistan', 0.0, 30.2904003, 71.9295776]",khanewal - 2,khanewal,khanewal
110 10 r, jahanian, khanewal,,"['Chak No.110/10-R, Khanewal, Punjab, Pakistan', 0.0, 30.0541247, 71.8437916]",rahim shah,jehanian,khanewal
144 10 r, jahanian, khanewal,,"['Jahanian-Khanewal, Chak 171/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2171339, 71.8798542]",70/10-r,khanewal,khanewal
157 10 r, jahanian, khanewal,,"['Chak 157/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.1391625, 71.8141418]",157/10-r,jehanian,khanewal
173 10 r, jahanian, khanewal,,"['Chak 173/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2006678, 71.834897]",70/10-r,khanewal,khanewal
175 10 r, jahanian, khanewal,,"['Jahanian-Khanewal, Chak 171/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2171339, 71.8798542]",70/10-r,khanewal,khanewal
33, chishtian, bahawalnagar,,"['Chishtian, Bahawalnagar, Punjab, Pakistan', 0.0, 29.79559739999999, 72.86336349999999]",chishtian ci,chishtian,bahawalnagar
61/25, gujranwala, gujranwala,,"['Street 25, Y Block Sector Y Peoples Colony, Gujranwala, Punjab, Pakistan', 0.0, 32.1343451, 74.20979129999999]",gujranwala c,gujranwala city,gujranwala
63/27, gujranwala, gujranwala,,"['Street 27, Block Aa Phase 1 Citi Housing, Gujranwala, Punjab, Pakistan', 0.0, 32.0703676, 74.19138339999999]",attawa,gujranwala saddar,gujranwala
78, haroonabad, bahawalnagar,,"['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]",chak no. 15/,haroonabad,bahawalnagar
79, haroonabad, bahawalnagar,,"['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]",chak no. 15/,haroonabad,bahawalnagar
80, haroonabad, bahawalnagar,,"['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]",chak no. 15/,haroonabad,bahawalnagar
85/49, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala
85/49, qila dedar singh town, gujranwala,,"['Qila Didar Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.1342879, 74.0153231]",qila didar s,gujranwala saddar,gujranwala
86 chak no. 92/15l, mian channu, khanewal,,"['Chak 92/15.L Mein Channun, Vehari, Punjab, Pakistan', 0.0, 30.2718205, 72.32075309999999]",126/15-l,mian channu,khanewal
87, jhang, jhang,,"['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]",civil station,jhang,jhang
89/53, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala
90, jhang, jhang,,"['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]",civil station,jhang,jhang
91/55, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala
