,0,1
0,"10/ah, khanewal, lodhran, punjab, pakistan","['Street 10, Khanewal, Punjab, Pakistan', 0.0, 30.2904003, 71.9295776]"
1,"110 10 r, jahanian, khanewal, punjab, pakistan","['Chak No.110/10-R, Khanewal, Punjab, Pakistan', 0.0, 30.0541247, 71.8437916]"
2,"144 10 r, jahanian, khanewal, punjab, pakistan","['Jahanian-Khanewal, Chak 171/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2171339, 71.8798542]"
3,"157 10 r, jahanian, khanewal, punjab, pakistan","['Chak 157/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.1391625, 71.8141418]"
4,"173 10 r, jahanian, khanewal, punjab, pakistan","['Chak 173/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2006678, 71.834897]"
5,"175 10 r, jahanian, khanewal, punjab, pakistan","['Jahanian-Khanewal, Chak 171/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2171339, 71.8798542]"
6,"33, chishtian, bahawalnagar, punjab, pakistan","['Chishtian, Bahawalnagar, Punjab, Pakistan', 0.0, 29.79559739999999, 72.86336349999999]"
7,"61/25, gujranwala, gujranwala, punjab, pakistan","['Street 25, Y Block Sector Y Peoples Colony, Gujranwala, Punjab, Pakistan', 0.0, 32.1343451, 74.20979129999999]"
8,"63/27, gujranwala, gujranwala, punjab, pakistan","['Street 27, Block Aa Phase 1 Citi Housing, Gujranwala, Punjab, Pakistan', 0.0, 32.0703676, 74.19138339999999]"
9,"78, haroonabad, bahawalnagar, punjab, pakistan","['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]"
10,"79, haroonabad, bahawalnagar, punjab, pakistan","['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]"
11,"80, haroonabad, bahawalnagar, punjab, pakistan","['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]"
12,"85/49, gujranwala, gujranwala, punjab, pakistan","['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]"
13,"85/49, qila dedar singh town, gujranwala, punjab, pakistan","['Qila Didar Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.1342879, 74.0153231]"
14,"86 chak no. 92/15l, mian channu, khanewal, punjab, pakistan","['Chak 92/15.L Mein Channun, Vehari, Punjab, Pakistan', 0.0, 30.2718205, 72.32075309999999]"
15,"87, jhang, jhang, punjab, pakistan","['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]"
16,"89/53, gujranwala, gujranwala, punjab, pakistan","['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]"
17,"90, jhang, jhang, punjab, pakistan","['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]"
18,"91/55, gujranwala, gujranwala, punjab, pakistan","['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]"
19,"91/55, qila dedar singh town, gujranwala, punjab, pakistan","['Qila Didar Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.1342879, 74.0153231]"
20,"93/57, gujranwala, gujranwala, punjab, pakistan","['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]"
21,"93/57, aroop town, gujranwala, punjab, pakistan","['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]"
22,"97, jhang, jhang, punjab, pakistan","['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]"
23,"97/61, aroop town, gujranwala, punjab, pakistan","['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]"
24,"97/61, gujranwala, gujranwala, punjab, pakistan","['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]"
25,"99/63, aroop town, gujranwala, punjab, pakistan","['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]"
26,"99/63, gujranwala, gujranwala, punjab, pakistan","['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]"
27,"abadi ghkhowal, faisalabad city, faisalabad, punjab, pakistan","['Faisalabad City, Faisalabad, Punjab, Pakistan', 0.0, 31.33599139999999, 72.94605659999999]"
28,"abas pur, multan saddar, multan, punjab, pakistan","['Multan Saddar, Multan, Punjab, Pakistan', 0.0, 30.1712026, 71.6198686]"
29,"abbas colony, multan city, multan, punjab, pakistan","['Railway Rd, Lakkar Mandi Chowk, Hassan Parwana Colony, Multan, Punjab, Pakistan', 0.0, 30.18620689999999, 71.45774279999999]"
30,"abbas pura, multan city, multan, punjab, pakistan","['Abbas Pura Rangilpur, Multan, Punjab, Pakistan', 0.0, 30.1608484, 71.4583911]"
31,"abdulla pura, faisalabad city, faisalabad, punjab, pakistan","['Hussania Rd, Faisalabad, Punjab, Pakistan', 0.0, 31.452645, 73.0578221]"
32,"abid abad, nowshera virkan, gujranwala, punjab, pakistan","['Gdhanwala Rd, Gujranwala, Punjab, Pakistan', 0.0, 31.9359712, 73.9228747]"
33,"abid colony, multan city, multan, punjab, pakistan","['Abid St, Multan, Punjab, Pakistan', 0.0, 30.1919126, 71.4484003]"
34,"abubakar sadiq colony, lahore city, lahore, punjab, pakistan","['Sadiq Colony, Garhi Shahu, Lahore, Punjab, Pakistan', 0.0, 31.5607546, 74.3460394]"
35,"achra, samanabad town, lahore, punjab, pakistan","['Ichra, Lahore, Punjab 54000, Pakistan', 0.0, 31.53508619999999, 74.3206208]"
36,"achra, lahore city, lahore, punjab, pakistan","['Ichra, Lahore, Punjab 54000, Pakistan', 0.0, 31.53508619999999, 74.3206208]"
37,"adlana, bhawana, chiniot, punjab, pakistan","['Adlana, Jhang, Punjab, Pakistan', 0.0, 31.5827867, 72.77620990000001]"
38,"ado rai, gujranwala, gujranwala, punjab, pakistan","['Rai, Kasur, Punjab, Pakistan', 0.0, 31.3204967, 74.48260239999999]"
39,"ado rai, khiali shah pur town, gujranwala, punjab, pakistan","['Khiali Shahpura Gujranwala, Punjab, Pakistan', 0.0, 32.1198772, 74.172438]"
40,"afandi colony, rawalpindi, rawalpindi, punjab, pakistan","['Affandi Colony Sadiqabad, Rawalpindi, Punjab, Pakistan', 0.0, 33.6314721, 73.0807402]"
41,"agogi, sialkot, sialkot, punjab, pakistan","['Sialkot, Punjab, Pakistan', 0.0, 32.4944991, 74.5228916]"
42,"ahmad raza colony, mailsi, vehari, punjab, pakistan","['Ahmad Raza Colony Mailsi, Vehari, Punjab, Pakistan', 0.0, 29.8150517, 72.166048]"
43,"ahmed pur 4, ahmadpur east, bahawalpur, punjab, pakistan","['Ahmedpur - Derawar Fort Rd, Ahmedpur East, Bahawalpur, Punjab, Pakistan', 0.0, 29.1227467, 71.2680049]"
44,"ahmed pur lamma 7- g, sadiqabad, rahim yar khan, punjab, pakistan","['Ahmedpur Lamma, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.3158505, 70.0532913]"
45,"aiman abad town, gujranwala, gujranwala, punjab, pakistan","['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]"
46,"aiman abad town, khiali shah pur town, gujranwala, punjab, pakistan","['Khiali Shahpura Gujranwala, Punjab, Pakistan', 0.0, 32.1198772, 74.172438]"
47,"akbar ghanoke, kamoke, gujranwala, punjab, pakistan","['Gujranwala, Punjab, Pakistan', 0.0, 31.8486335, 74.10625929999999]"
48,"akhtar abad, multan city, multan, punjab, pakistan",[]
49,"alhamra, gulberg town, lahore, punjab, pakistan","['68 Mall Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan', 0.0, 31.5606026, 74.3228693]"
