,UC_Survey,TEHSIL_Survey,DISTRICT_Survey,Column1,Google API Returned Value,UC_Shape,TEHSIL_Shape,DISTRICT_Shape,UC Match with Returned Address in Google API,Tehsil Match,District Match,fuzzyUC,fuzzyTehsil,fuzzyDistrict,Manaual Tehsil,Manaual District,crossMatchTehsil,crossMatchDistrict
0,10/ah, khanewal, lodhran,,"['Street 10, Khanewal, Punjab, Pakistan', 0.0, 30.2904003, 71.9295776]",khanewal - 2,khanewal,khanewal,False,True,False,40,100,38,khanewal,lodhran,True,False
1,110 10 r, jahanian, khanewal,,"['Chak No.110/10-R, Khanewal, Punjab, Pakistan', 0.0, 30.0541247, 71.8437916]",rahim shah,jehanian,khanewal,False,False,True,62,88,100,jehanian,khanewal,True,True
2,144 10 r, jahanian, khanewal,,"['Jahanian-Khanewal, Chak 171/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2171339, 71.8798542]",70/10-r,khanewal,khanewal,False,False,True,0,53,100,jehanian,khanewal,False,True
3,157 10 r, jahanian, khanewal,,"['Chak 157/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.1391625, 71.8141418]",157/10-r,jehanian,khanewal,False,False,True,75,88,100,jehanian,khanewal,True,True
4,173 10 r, jahanian, khanewal,,"['Chak 173/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2006678, 71.834897]",70/10-r,khanewal,khanewal,False,False,True,75,53,100,jehanian,khanewal,False,True
5,175 10 r, jahanian, khanewal,,"['Jahanian-Khanewal, Chak 171/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2171339, 71.8798542]",70/10-r,khanewal,khanewal,False,False,True,0,53,100,jehanian,khanewal,False,True
6,33, chishtian, bahawalnagar,,"['Chishtian, Bahawalnagar, Punjab, Pakistan', 0.0, 29.79559739999999, 72.86336349999999]",chishtian ci,chishtian,bahawalnagar,True,True,True,0,100,100,chishtian,bahawalnagar,True,True
7,61/25, gujranwala, gujranwala,,"['Street 25, Y Block Sector Y Peoples Colony, Gujranwala, Punjab, Pakistan', 0.0, 32.1343451, 74.20979129999999]",gujranwala c,gujranwala city,gujranwala,False,False,True,40,91,100,gujranwala city,gujranwala,True,True
8,63/27, gujranwala, gujranwala,,"['Street 27, Block Aa Phase 1 Citi Housing, Gujranwala, Punjab, Pakistan', 0.0, 32.0703676, 74.19138339999999]",attawa,gujranwala saddar,gujranwala,False,False,True,40,91,100,gujranwala city,gujranwala,False,True
9,78, haroonabad, bahawalnagar,,"['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]",chak no. 15/,haroonabad,bahawalnagar,False,True,True,0,100,100,haroonabad,bahawalnagar,True,True
10,79, haroonabad, bahawalnagar,,"['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]",chak no. 15/,haroonabad,bahawalnagar,False,True,True,0,100,100,haroonabad,bahawalnagar,True,True
11,80, haroonabad, bahawalnagar,,"['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]",chak no. 15/,haroonabad,bahawalnagar,False,True,True,0,100,100,haroonabad,bahawalnagar,True,True
12,85/49, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala,False,False,True,0,91,100,gujranwala city,gujranwala,True,True
13,85/49, qila dedar singh town, gujranwala,,"['Qila Didar Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.1342879, 74.0153231]",qila didar s,gujranwala saddar,gujranwala,False,False,True,0,41,100,gujrat,gujranwala,False,True
14,86 chak no. 92/15l, mian channu, khanewal,,"['Chak 92/15.L Mein Channun, Vehari, Punjab, Pakistan', 0.0, 30.2718205, 72.32075309999999]",126/15-l,mian channu,khanewal,False,True,True,50,100,100,mian channu,khanewal,True,True
15,87, jhang, jhang,,"['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]",civil station,jhang,jhang,False,True,True,0,100,100,jhang,jhang,True,True
16,89/53, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala,False,False,True,0,91,100,gujranwala city,gujranwala,True,True
17,90, jhang, jhang,,"['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]",civil station,jhang,jhang,False,True,True,0,100,100,jhang,jhang,True,True
18,91/55, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala,False,False,True,0,91,100,gujranwala city,gujranwala,True,True
19,91/55, qila dedar singh town, gujranwala,,"['Qila Didar Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.1342879, 74.0153231]",qila didar s,gujranwala saddar,gujranwala,False,False,True,0,41,100,gujrat,gujranwala,False,True
20,93/57, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala,False,False,True,0,91,100,gujranwala city,gujranwala,True,True
21,93/57, aroop town, gujranwala,,"['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]",lohian wala,gujranwala saddar,gujranwala,False,False,True,0,27,100,gujranwala saddar,gujranwala,True,True
22,97, jhang, jhang,,"['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]",civil station,jhang,jhang,False,True,True,0,100,100,jhang,jhang,True,True
23,97/61, aroop town, gujranwala,,"['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]",lohian wala,gujranwala saddar,gujranwala,False,False,True,0,27,100,gujranwala saddar,gujranwala,True,True
24,97/61, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala,False,False,True,0,91,100,gujranwala city,gujranwala,True,True
25,99/63, aroop town, gujranwala,,"['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]",lohian wala,gujranwala saddar,gujranwala,False,False,True,0,27,100,gujranwala saddar,gujranwala,True,True
