,regressor,params,features,r2,mse,max_err
0,Lasso,"{'alpha': 0.01, 'max_iter': 1000.0, 'selection': 'cyclic', 'random_state': 0}",DAY_FEATURES,0.002785374448351252,2832462335345.865,31127445.161359973
1,Lasso,"{'alpha': 0.01, 'max_iter': 1000.0, 'selection': 'cyclic', 'random_state': 0}",NIGHT_FEATURES,0.0006843740649038477,2838429961872.973,31303297.905703742
2,Lasso,"{'alpha': 0.01, 'max_iter': 1000.0, 'selection': 'cyclic', 'random_state': 0}",ALL_FEATURES,0.0027879624099312883,2832454984567.4946,31114320.983810123
3,Lasso,"{'alpha': 0.01, 'max_iter': 1000.0, 'selection': 'random', 'random_state': 0}",DAY_FEATURES,0.0029778073357070722,2831915754006.652,31129669.38573175
4,Lasso,"{'alpha': 0.01, 'max_iter': 1000.0, 'selection': 'random', 'random_state': 0}",NIGHT_FEATURES,0.0006843740650066543,2838429961872.6816,31303297.905703716
5,Lasso,"{'alpha': 0.01, 'max_iter': 1000.0, 'selection': 'random', 'random_state': 0}",ALL_FEATURES,0.0029531381054296313,2831985823842.987,31119201.804468554
6,Lasso,"{'alpha': 0.01, 'max_iter': 10000.0, 'selection': 'cyclic', 'random_state': 0}",DAY_FEATURES,0.0029486398023257365,2831998600705.4478,31100455.74783979
7,Lasso,"{'alpha': 0.01, 'max_iter': 10000.0, 'selection': 'cyclic', 'random_state': 0}",NIGHT_FEATURES,0.0006843740649038477,2838429961872.973,31303297.905703742
8,Lasso,"{'alpha': 0.01, 'max_iter': 10000.0, 'selection': 'cyclic', 'random_state': 0}",ALL_FEATURES,0.003045473566480772,2831723556614.9067,31074626.894666318
9,Lasso,"{'alpha': 0.01, 'max_iter': 10000.0, 'selection': 'random', 'random_state': 0}",DAY_FEATURES,0.0026394657748652905,2832876770525.073,31108528.28384106
10,Lasso,"{'alpha': 0.01, 'max_iter': 10000.0, 'selection': 'random', 'random_state': 0}",NIGHT_FEATURES,0.0006843740650066543,2838429961872.6816,31303297.905703716
11,Lasso,"{'alpha': 0.01, 'max_iter': 10000.0, 'selection': 'random', 'random_state': 0}",ALL_FEATURES,0.002720343060552466,2832647048798.5522,31084978.255326614
12,Lasso,"{'alpha': 0.01, 'max_iter': 100000.0, 'selection': 'cyclic', 'random_state': 0}",DAY_FEATURES,0.002983146947190485,2831900587513.8784,31090291.92980002
13,Lasso,"{'alpha': 0.01, 'max_iter': 100000.0, 'selection': 'cyclic', 'random_state': 0}",NIGHT_FEATURES,0.0006843740649038477,2838429961872.973,31303297.905703742
14,Lasso,"{'alpha': 0.01, 'max_iter': 100000.0, 'selection': 'cyclic', 'random_state': 0}",ALL_FEATURES,0.0030853428849221265,2831610312845.7847,31063778.2599988
15,Lasso,"{'alpha': 0.01, 'max_iter': 100000.0, 'selection': 'random', 'random_state': 0}",DAY_FEATURES,0.002974298106550588,2831925721529.3467,31090821.13499769
16,Lasso,"{'alpha': 0.01, 'max_iter': 100000.0, 'selection': 'random', 'random_state': 0}",NIGHT_FEATURES,0.0006843740650066543,2838429961872.6816,31303297.905703716
17,Lasso,"{'alpha': 0.01, 'max_iter': 100000.0, 'selection': 'random', 'random_state': 0}",ALL_FEATURES,0.0030721684954206907,2831647733037.0835,31064443.862238232
18,Lasso,"{'alpha': 0.1, 'max_iter': 1000.0, 'selection': 'cyclic', 'random_state': 0}",DAY_FEATURES,0.0027839415531959455,2832466405303.7803,31127435.795207012
19,Lasso,"{'alpha': 0.1, 'max_iter': 1000.0, 'selection': 'cyclic', 'random_state': 0}",NIGHT_FEATURES,0.0006843725093744757,2838429966291.2583,31303298.010459468
20,Lasso,"{'alpha': 0.1, 'max_iter': 1000.0, 'selection': 'cyclic', 'random_state': 0}",ALL_FEATURES,0.0027868599853650977,2832458115865.393,31114302.135547798
21,Lasso,"{'alpha': 0.1, 'max_iter': 1000.0, 'selection': 'random', 'random_state': 0}",DAY_FEATURES,0.00297855779837497,2831913622412.1226,31129683.3027764
22,Lasso,"{'alpha': 0.1, 'max_iter': 1000.0, 'selection': 'random', 'random_state': 0}",NIGHT_FEATURES,0.0006843725107783527,2838429966287.2705,31303298.010459114
23,Lasso,"{'alpha': 0.1, 'max_iter': 1000.0, 'selection': 'random', 'random_state': 0}",ALL_FEATURES,0.0029541402090176305,2831982977494.1704,31119212.99421364
24,Lasso,"{'alpha': 0.1, 'max_iter': 10000.0, 'selection': 'cyclic', 'random_state': 0}",DAY_FEATURES,0.002943730353069607,2832012545376.684,31100524.616696157
25,Lasso,"{'alpha': 0.1, 'max_iter': 10000.0, 'selection': 'cyclic', 'random_state': 0}",NIGHT_FEATURES,0.0006843725093744757,2838429966291.2583,31303298.010459468
26,Lasso,"{'alpha': 0.1, 'max_iter': 10000.0, 'selection': 'cyclic', 'random_state': 0}",ALL_FEATURES,0.0030395938103451314,2831740257320.4204,31074709.395310596
27,Lasso,"{'alpha': 0.1, 'max_iter': 10000.0, 'selection': 'random', 'random_state': 0}",DAY_FEATURES,0.002635999027652436,2832886617383.167,31108570.10385338
28,Lasso,"{'alpha': 0.1, 'max_iter': 10000.0, 'selection': 'random', 'random_state': 0}",NIGHT_FEATURES,0.0006843725107783527,2838429966287.2705,31303298.010459114
29,Lasso,"{'alpha': 0.1, 'max_iter': 10000.0, 'selection': 'random', 'random_state': 0}",ALL_FEATURES,0.0027166998556773514,2832657396862.3735,31085021.823487032
30,Lasso,"{'alpha': 0.1, 'max_iter': 100000.0, 'selection': 'cyclic', 'random_state': 0}",DAY_FEATURES,0.0029781449654047165,2831914795012.0913,31090568.910890248
31,Lasso,"{'alpha': 0.1, 'max_iter': 100000.0, 'selection': 'cyclic', 'random_state': 0}",NIGHT_FEATURES,0.0006843725093744757,2838429966291.2583,31303298.010459468
32,Lasso,"{'alpha': 0.1, 'max_iter': 100000.0, 'selection': 'cyclic', 'random_state': 0}",ALL_FEATURES,0.003078777993954729,2831628959590.3516,31064100.76039581
33,Lasso,"{'alpha': 0.1, 'max_iter': 100000.0, 'selection': 'random', 'random_state': 0}",DAY_FEATURES,0.0029691294978124727,2831940402310.396,31091087.054658476
34,Lasso,"{'alpha': 0.1, 'max_iter': 100000.0, 'selection': 'random', 'random_state': 0}",NIGHT_FEATURES,0.0006843725107783527,2838429966287.2705,31303298.010459114
35,Lasso,"{'alpha': 0.1, 'max_iter': 100000.0, 'selection': 'random', 'random_state': 0}",ALL_FEATURES,0.0030654409805839222,2831666841694.2344,31064754.925771233
36,Lasso,"{'alpha': 1.0, 'max_iter': 1000.0, 'selection': 'cyclic', 'random_state': 0}",DAY_FEATURES,0.002767877762835602,2832512032473.692,31127353.609898314
37,Lasso,"{'alpha': 1.0, 'max_iter': 1000.0, 'selection': 'cyclic', 'random_state': 0}",NIGHT_FEATURES,0.0006843569259786797,2838430010553.928,31303299.057704862
38,Lasso,"{'alpha': 1.0, 'max_iter': 1000.0, 'selection': 'cyclic', 'random_state': 0}",ALL_FEATURES,0.002774510533444685,2832493192925.5664,31114115.742217455
39,Lasso,"{'alpha': 1.0, 'max_iter': 1000.0, 'selection': 'random', 'random_state': 0}",DAY_FEATURES,0.00298081719849852,2831907204871.117,31129842.478438582
40,Lasso,"{'alpha': 1.0, 'max_iter': 1000.0, 'selection': 'random', 'random_state': 0}",NIGHT_FEATURES,0.0006843569359334944,2838430010525.653,31303299.05770237
41,Lasso,"{'alpha': 1.0, 'max_iter': 1000.0, 'selection': 'random', 'random_state': 0}",ALL_FEATURES,0.002958979726593425,2831969231455.0493,31119327.621124752
42,Lasso,"{'alpha': 1.0, 'max_iter': 10000.0, 'selection': 'cyclic', 'random_state': 0}",DAY_FEATURES,0.002889106237521144,2832167698285.5244,31101216.385029323
43,Lasso,"{'alpha': 1.0, 'max_iter': 10000.0, 'selection': 'cyclic', 'random_state': 0}",NIGHT_FEATURES,0.0006843569259786797,2838430010553.928,31303299.057704862
44,Lasso,"{'alpha': 1.0, 'max_iter': 10000.0, 'selection': 'cyclic', 'random_state': 0}",ALL_FEATURES,0.0029755566409682688,2831922146821.11,31075529.245421216
45,Lasso,"{'alpha': 1.0, 'max_iter': 10000.0, 'selection': 'random', 'random_state': 0}",DAY_FEATURES,0.0025980958267648457,2832994276643.423,31108998.93212738
46,Lasso,"{'alpha': 1.0, 'max_iter': 10000.0, 'selection': 'random', 'random_state': 0}",NIGHT_FEATURES,0.0006843569359334944,2838430010525.653,31303299.05770237
47,Lasso,"{'alpha': 1.0, 'max_iter': 10000.0, 'selection': 'random', 'random_state': 0}",ALL_FEATURES,0.0026770444650040526,2832770032996.659,31085465.878662463
48,Lasso,"{'alpha': 1.0, 'max_iter': 100000.0, 'selection': 'cyclic', 'random_state': 0}",DAY_FEATURES,0.002913488658544461,2832098443094.6924,31093338.720042422
49,Lasso,"{'alpha': 1.0, 'max_iter': 100000.0, 'selection': 'cyclic', 'random_state': 0}",NIGHT_FEATURES,0.0006843569259786797,2838430010553.928,31303299.057704862
50,Lasso,"{'alpha': 1.0, 'max_iter': 100000.0, 'selection': 'cyclic', 'random_state': 0}",ALL_FEATURES,0.0029974543220002703,2831859949220.749,31067325.762761086
51,Lasso,"{'alpha': 1.0, 'max_iter': 100000.0, 'selection': 'random', 'random_state': 0}",DAY_FEATURES,0.0029037377507385997,2832126139318.1406,31093741.868526645
52,Lasso,"{'alpha': 1.0, 'max_iter': 100000.0, 'selection': 'random', 'random_state': 0}",NIGHT_FEATURES,0.0006843569359334944,2838430010525.653,31303299.05770237
53,Lasso,"{'alpha': 1.0, 'max_iter': 100000.0, 'selection': 'random', 'random_state': 0}",ALL_FEATURES,0.0029832295546864396,2831900352877.708,31067865.99305682
54,Lasso,"{'alpha': 10.0, 'max_iter': 1000.0, 'selection': 'cyclic', 'random_state': 0}",DAY_FEATURES,0.0025394359336617933,2833160892669.2534,31126709.79468195
55,Lasso,"{'alpha': 10.0, 'max_iter': 1000.0, 'selection': 'cyclic', 'random_state': 0}",NIGHT_FEATURES,0.0006841978105504021,2838430462501.228,31303309.5329685
56,Lasso,"{'alpha': 10.0, 'max_iter': 1000.0, 'selection': 'cyclic', 'random_state': 0}",ALL_FEATURES,0.0025657066878500556,2833086273906.2983,31112303.15561243
57,Lasso,"{'alpha': 10.0, 'max_iter': 1000.0, 'selection': 'random', 'random_state': 0}",DAY_FEATURES,0.0028307320724424434,2832333502736.949,31131419.944655903
58,Lasso,"{'alpha': 10.0, 'max_iter': 1000.0, 'selection': 'random', 'random_state': 0}",NIGHT_FEATURES,0.0006841979442046009,2838430462121.6,31303309.5284004
59,Lasso,"{'alpha': 10.0, 'max_iter': 1000.0, 'selection': 'random', 'random_state': 0}",ALL_FEATURES,0.0028446783387198193,2832293890127.0483,31120541.157027055
60,Lasso,"{'alpha': 10.0, 'max_iter': 10000.0, 'selection': 'cyclic', 'random_state': 0}",DAY_FEATURES,0.002125592903627127,2834336361585.6567,31107928.18906051
61,Lasso,"{'alpha': 10.0, 'max_iter': 10000.0, 'selection': 'cyclic', 'random_state': 0}",NIGHT_FEATURES,0.0006841978105504021,2838430462501.228,31303309.5329685
62,Lasso,"{'alpha': 10.0, 'max_iter': 10000.0, 'selection': 'cyclic', 'random_state': 0}",ALL_FEATURES,0.0023411083686868395,2833724217096.5723,31079742.49995688
63,Lasso,"{'alpha': 10.0, 'max_iter': 10000.0, 'selection': 'random', 'random_state': 0}",DAY_FEATURES,0.002199758848870137,2834125702574.965,31110284.486528408
64,Lasso,"{'alpha': 10.0, 'max_iter': 10000.0, 'selection': 'random', 'random_state': 0}",NIGHT_FEATURES,0.0006841979442046009,2838430462121.6,31303309.5284004
